city,measure,price,category
Boston,Monthly Transit Pass,90,Monthly Cost
Boston,Gasoline (13.2 gallons),47.26,Monthly Cost
Boston,Volkswagen Golf 1.4,30000,Own Property
Boston,Toyota Corolla Sedan,24095.29,Own Property
Boston,Internet (60 Mbps or More),69.92,Monthly Cost
Boston,Monthly Gym Fee (1 Adult),95.56,Monthly Cost
Boston,Levis 501 Jeans,58.78,Clothing
Boston,Summer Dress in a Chain Store,44.64,Clothing
Boston,Nike Running Shoes,92.89,Clothing
Boston,Men Leather Business Shoes,155.69,Clothing
Boston,1B Apt in City Centre,3145.77,Rent
Boston,1B Apt Outside of Centre,2256.09,Rent
Boston,3B Apt in City Centre,5183.91,Rent
Boston,3B Apt in Outside of Centre,3561.36,Rent
Boston,750 sq ft Apt in City Centre,634897.5,Own Property
Boston,750 sq ft Apt Outside of Centre,348810,Own Property
Atlanta,Inexpensive Restaurant Meal,23.5,Dining Out
Atlanta,Mid-range Restaurant Meal for 2,100,Dining Out
Atlanta,McMeal at McDonalds,12,Dining Out
Atlanta,Regular Cappuccino,5.33,Dining Out
Atlanta,Milk (1 gallon),4.14,Grocery
Atlanta,Eggs (12),4.13,Grocery
Atlanta,Local Cheese (1 lb),7.22,Meat & Cheese
Atlanta,Chicken Fillets (1 lb),7.3,Meat & Cheese
Atlanta,Beef Round (1 lb),8.51,Meat & Cheese
Atlanta,Mid-Range Wine,12.5,Alcohol & Cigarette
Atlanta,Domestic Beer (0.5 L),3.28,Alcohol & Cigarette
Atlanta,Imported Beer (12 oz),4.9,Alcohol & Cigarette
Atlanta,Marlboro (20 Pack),8,Alcohol & Cigarette
Atlanta,Monthly Transit Pass,95,Monthly Cost
Atlanta,Gasoline (13.2 gallons),45.54,Monthly Cost
Atlanta,Volkswagen Golf 1.4,35000,Own Property
Atlanta,Toyota Corolla Sedan,25058.62,Own Property
Atlanta,Internet (60 Mbps or More),66.79,Monthly Cost
Atlanta,Monthly Gym Fee (1 Adult),63.5,Monthly Cost
Atlanta,Levis 501 Jeans,55.46,Clothing
Atlanta,Summer Dress in a Chain Store,48.5,Clothing
Atlanta,Nike Running Shoes,97.31,Clothing
Atlanta,Men Leather Business Shoes,125.18,Clothing
Atlanta,1B Apt in City Centre,2034.2,Rent
Atlanta,1B Apt Outside of Centre,1592.84,Rent
Atlanta,3B Apt in City Centre,3700.53,Rent
Atlanta,3B Apt in Outside of Centre,2635.91,Rent
Atlanta,750 sq ft Apt in City Centre,420007.5,Own Property
Atlanta,750 sq ft Apt Outside of Centre,245535,Own Property
Philadelphia,Inexpensive Restaurant Meal,20,Dining Out
Philadelphia,Mid-range Restaurant Meal for 2,75,Dining Out
Philadelphia,McMeal at McDonalds,10.25,Dining Out
Philadelphia,Regular Cappuccino,4.76,Dining Out
Philadelphia,Milk (1 gallon),4.83,Grocery
Philadelphia,Eggs (12),4.23,Grocery
Philadelphia,Local Cheese (1 lb),7.84,Meat & Cheese
Philadelphia,Chicken Fillets (1 lb),6.11,Meat & Cheese
Philadelphia,Beef Round (1 lb),8.64,Meat & Cheese
Philadelphia,Mid-Range Wine,17,Alcohol & Cigarette
Philadelphia,Domestic Beer (0.5 L),1.73,Alcohol & Cigarette
Philadelphia,Imported Beer (12 oz),3.6,Alcohol & Cigarette
Philadelphia,Marlboro (20 Pack),13,Alcohol & Cigarette
Philadelphia,Monthly Transit Pass,96,Monthly Cost
Philadelphia,Gasoline (13.2 gallons),50.56,Monthly Cost
Philadelphia,Volkswagen Golf 1.4,34000,Own Property
Philadelphia,Toyota Corolla Sedan,25402.02,Own Property
Philadelphia,Internet (60 Mbps or More),63.18,Monthly Cost
Philadelphia,Monthly Gym Fee (1 Adult),43.75,Monthly Cost
Philadelphia,Levis 501 Jeans,54.92,Clothing
Philadelphia,Summer Dress in a Chain Store,35.83,Clothing
Philadelphia,Nike Running Shoes,94.23,Clothing
Philadelphia,Men Leather Business Shoes,120.56,Clothing
Philadelphia,1B Apt in City Centre,1759.09,Rent
Philadelphia,1B Apt Outside of Centre,1307.85,Rent
Philadelphia,3B Apt in City Centre,3115.69,Rent
Philadelphia,3B Apt in Outside of Centre,2086.42,Rent
Philadelphia,750 sq ft Apt in City Centre,264435,Own Property
Philadelphia,750 sq ft Apt Outside of Centre,181485,Own Property
Seattle,Inexpensive Restaurant Meal,20,Dining Out
